Timestamp,X,Y,Z
2025-05-14T12:48:22.368Z,-2.49,1.2,9.15
2025-05-14T12:48:22.402Z,-2.52,1.1,9.1
2025-05-14T12:48:22.435Z,-2.52,1.2,9.17
2025-05-14T12:48:22.468Z,-2.53,1.2,9.25
2025-05-14T12:48:22.502Z,-2.52,1.08,9.12
2025-05-14T12:48:22.535Z,-2.51,1.23,9.22
2025-05-14T12:48:22.569Z,-2.44,1.18,9.1
2025-05-14T12:48:22.603Z,-2.46,1.14,9.24
2025-05-14T12:48:22.634Z,-2.47,1.14,9.13
2025-05-14T12:48:22.667Z,-2.49,1.19,9.15
2025-05-14T12:48:22.701Z,-2.53,1.21,9.08
2025-05-14T12:48:22.734Z,-2.53,1.18,9.18
2025-05-14T12:48:22.769Z,-2.52,1.16,9.16
2025-05-14T12:48:22.803Z,-2.45,1.19,9.25
2025-05-14T12:48:22.835Z,-2.48,1.21,9.22
2025-05-14T12:48:22.867Z,-2.53,1.16,9.22
2025-05-14T12:48:22.899Z,-2.48,1.1,9.16
2025-05-14T12:48:22.938Z,-2.5,1.14,9.2
2025-05-14T12:48:22.968Z,-2.5,1.21,9.17
2025-05-14T12:48:23.004Z,-2.48,1.15,9.22
2025-05-14T12:48:23.034Z,-2.46,1.2,9.11
2025-05-14T12:48:23.067Z,-2.45,1.19,9.16
2025-05-14T12:48:23.101Z,-2.5,1.16,9.2
2025-05-14T12:48:23.134Z,-2.51,1.15,9.16
2025-05-14T12:48:23.168Z,-2.54,1.19,9.1
2025-05-14T12:48:23.202Z,-2.56,1.15,9.04
2025-05-14T12:48:23.234Z,-2.42,1.22,9.01
2025-05-14T12:48:23.267Z,-2.48,1.19,9.12
2025-05-14T12:48:23.301Z,-2.56,1.13,9.08
2025-05-14T12:48:23.335Z,-2.54,1.21,9.07
2025-05-14T12:48:23.367Z,-2.49,1.32,9.07
2025-05-14T12:48:23.401Z,-2.45,1.3,9.12
2025-05-14T12:48:23.436Z,-2.5,1.28,9.14
2025-05-14T12:48:23.467Z,-2.54,1.24,9.1
2025-05-14T12:48:23.503Z,-2.53,1.26,9.22
2025-05-14T12:48:23.533Z,-2.6,1.24,9.16
2025-05-14T12:48:23.566Z,-2.49,1.22,9.11
2025-05-14T12:48:23.599Z,-2.59,1.25,9.12
2025-05-14T12:48:23.633Z,-2.58,1.23,9.14
2025-05-14T12:48:23.666Z,-2.56,1.19,9.21
2025-05-14T12:48:23.699Z,-2.65,1.24,9.12
2025-05-14T12:48:23.734Z,-2.61,1.27,9.1
2025-05-14T12:48:23.765Z,-2.55,1.29,9.12
2025-05-14T12:48:23.799Z,-2.55,1.33,9.14
2025-05-14T12:48:23.835Z,-2.54,1.41,9.13
2025-05-14T12:48:23.865Z,-2.54,1.36,9.17
2025-05-14T12:48:23.901Z,-2.52,1.46,9.1
2025-05-14T12:48:23.934Z,-2.53,1.47,8.99
2025-05-14T12:48:23.965Z,-2.5,1.48,9.03
2025-05-14T12:48:23.999Z,-2.46,1.55,8.96
2025-05-14T12:48:24.032Z,-2.57,1.44,9.17
2025-05-14T12:48:24.064Z,-2.68,1.43,9.23
2025-05-14T12:48:24.098Z,-2.6,1.71,9.29
2025-05-14T12:48:24.130Z,-2.25,2.08,9.08
2025-05-14T12:48:24.166Z,-1.04,2.19,8.86
2025-05-14T12:48:24.199Z,-1.77,4.87,11.91
2025-05-14T12:48:24.233Z,1.49,8.7,12.27
2025-05-14T12:48:24.269Z,3.99,5.22,11.75
2025-05-14T12:48:24.300Z,5.81,3.13,9.7
2025-05-14T12:48:24.334Z,3.62,2.99,10.92
2025-05-14T12:48:24.366Z,1.59,2.99,11.11
2025-05-14T12:48:24.400Z,-0.86,3.87,9.97
2025-05-14T12:48:24.434Z,-1.93,4.06,9.7
2025-05-14T12:48:24.465Z,-5.45,3.1,12.29
2025-05-14T12:48:24.497Z,-8.42,3,12.64
2025-05-14T12:48:24.529Z,-9.64,2.44,10.28
2025-05-14T12:48:24.565Z,-9.13,-1.53,6.15
2025-05-14T12:48:24.596Z,-9.28,-2.68,1.97
2025-05-14T12:48:24.633Z,-9.33,-1.36,0.85
2025-05-14T12:48:24.664Z,-7.76,1.42,4.83
2025-05-14T12:48:24.698Z,-1.99,6.51,13.69
2025-05-14T12:48:24.732Z,0.98,3.87,4.2
2025-05-14T12:48:24.764Z,-6.91,-3.52,16.62
